"ingresos","altura","genero","ed","edad","raza"
50000,74.4244387818035,"masculino",16,45,"blanca"
60000,65.5375428255647,"femenino",16,58,"blanca"
30000,63.6291977374349,"femenino",16,29,"blanca"
50000,63.1085616752971,"femenino",16,91,"otra"
51000,63.4024835710879,"femenino",17,39,"blanca"
9000,64.3995075440034,"femenino",15,26,"blanca"
29000,61.6563258264214,"femenino",12,49,"blanca"
32000,72.6985437364783,"masculino",17,46,"blanca"
2000,72.0394668497611,"masculino",15,21,"hispanica"
27000,72.2349325611722,"masculino",12,26,"blanca"
6530,69.5121464275289,"masculino",16,65,"blanca"
30000,68.0316082600038,"masculino",11,34,"blanca"
12000,67.556933917338,"masculino",12,27,"blanca"
12000,65.4305870763492,"femenino",12,51,"blanca"
22000,65.6628545243293,"femenino",16,35,"blanca"
17000,67.7587687384803,"masculino",12,58,"blanca"
40000,68.3518425801303,"femenino",14,29,"blanca"
44000,69.6095718003344,"masculino",13,44,"blanca"
7000,64.1845656777732,"femenino",12,55,"negra"
53000,73.0746091497131,"masculino",13,35,"negra"
5000,62.3755270198453,"femenino",13,51,"blanca"
14000,63.0239301056135,"femenino",14,21,"blanca"
5500,67.2299039133359,"masculino",14,22,"blanca"
40000,65.551107801497,"femenino",12,41,"blanca"
34000,72.0796453857329,"masculino",12,45,"blanca"
10000,63.0911300827283,"femenino",12,35,"negra"
27000,64.3235489164945,"femenino",16,60,"blanca"
50000,71.6428528276738,"masculino",16,38,"blanca"
41000,76.7930946839042,"masculino",16,33,"blanca"
15000,63.8939143288881,"femenino",14,25,"blanca"
25000,63.8026230719406,"femenino",12,33,"blanca"
75000,71.5922314410564,"masculino",17,39,"blanca"
27000,67.5219634829555,"masculino",17,31,"blanca"
12000,64.3943514756393,"femenino",12,26,"blanca"
7500,61.1782226648647,"femenino",14,78,"blanca"
30000,66.9838783009909,"femenino",14,31,"negra"
21000,65.3164557656273,"femenino",12,57,"blanca"
27000,63.5741851450875,"femenino",14,26,"blanca"
3000,66.6110004822258,"femenino",15,65,"blanca"
25000,64.9117550808005,"femenino",12,30,"blanca"
24000,64.7896799838636,"femenino",12,41,"blanca"
32000,66.937690645922,"femenino",18,29,"blanca"
10000,68.1728129491676,"femenino",17,30,"blanca"
11000,60.4506599237211,"femenino",12,21,"hispanica"
18700,64.7932535589207,"femenino",13,32,"blanca"
20000,61.8149190000258,"femenino",12,29,"blanca"
3500,71.5721453060396,"masculino",10,18,"blanca"
13000,67.3144058254547,"masculino",8,56,"negra"
25000,69.8998733619228,"masculino",12,65,"blanca"
21000,69.7617020171601,"masculino",17,41,"blanca"
34000,67.7464710318018,"femenino",17,49,"blanca"
6000,60.190221529454,"femenino",12,65,"blanca"
17000,71.0064998776652,"masculino",12,28,"blanca"
35000,71.1667981331702,"masculino",12,32,"blanca"
4000,72.7356298717204,"masculino",13,18,"blanca"
14000,68.1382231093012,"femenino",14,55,"blanca"
10000,66.3798112401273,"femenino",12,57,"blanca"
25000,69.2327845250256,"masculino",16,29,"blanca"
16000,63.2739377985708,"femenino",14,27,"blanca"
16000,61.8277627213392,"masculino",14,28,"hispanica"
16500,64.2212092091795,"femenino",14,43,"blanca"
4000,63.841265113093,"femenino",9,68,"blanca"
3840,66.9747701257002,"femenino",9,52,"blanca"
22000,71.451489093015,"masculino",12,39,"blanca"
200,59.6126462582033,"femenino",16,53,"blanca"
